Date,Time,Unbilled Data Usage in Kilobytes(KB),Unbilled Data Usage in Megabytes(MB),Unbilled Data Usage in Gigabytes(GB)
3/5/15,8:30 PM,15077.1,14.72,0.014378665
3/5/15,8:27 PM,1117.4,1.09,0.001065611
3/5/15,8:16 PM,4524.3,4.42,0.004314734
3/5/15,5:33 PM,18393.9,17.96,0.017541819
3/5/15,11:34 AM,15633,15.27,0.014908808
3/5/15,5:34 AM,7664.4,7.48,0.007309374
3/4/15,11:34 PM,6444,6.29,0.006145469
3/4/15,11:34 PM,96.8,0.09,0.000092337
3/4/15,11:29 PM,4205.4,4.11,0.004010596
3/4/15,11:28 PM,92.6,0.09,0.00008835
3/4/15,11:27 PM,96.2,0.09,0.00009179
3/4/15,11:27 PM,76.3,0.07,0.000072729
3/4/15,11:26 PM,137.4,0.13,0.000131077
3/4/15,7:53 PM,7745.3,7.56,0.00738649
3/4/15,7:52 PM,111,0.11,0.000105865
3/4/15,7:40 PM,439.7,0.43,0.000419316
3/4/15,7:19 PM,17144.7,16.74,0.016350417
3/4/15,2:52 PM,13997.1,13.67,0.01334866
3/4/15,8:52 AM,6953.7,6.79,0.006631596
3/4/15,8:52 AM,90.7,0.09,0.000086514
3/4/15,8:48 AM,117.4,0.11,0.000111936
3/4/15,8:46 AM,96.7,0.09,0.000092178
3/4/15,8:41 AM,136.3,0.13,0.00013
3/4/15,8:29 AM,25.4,0.02,0.000024241
3/4/15,8:27 AM,150,0.15,0.000143084
3/4/15,8:24 AM,123,0.12,0.000117257
3/3/15,7:44 PM,17976.4,17.56,0.017143597
3/3/15,3:27 PM,24021.6,23.46,0.022908809
3/3/15,3:21 PM,1684.1,1.64,0.001606121
3/3/15,3:13 PM,92.3,0.09,0.000088056
3/3/15,3:12 PM,54.3,0.05,0.000051739
3/3/15,3:11 PM,60.9,0.06,0.000058091
3/3/15,3:09 PM,65,0.06,0.00006196
3/3/15,3:05 PM,61.9,0.06,0.000059072
3/3/15,2:58 PM,93.1,0.09,0.000088763
